ASXCode,CompanyName,ListingDate,GICsIndustryGroup
14D,1414 Degrees Limited,12/09/2018,Capital Goods
1AD,Adalta Limited,22/08/2016,"Pharmaceuticals, Biotechnology & Life Sciences"
1AE,Aurora Energy Metals Limited,18/05/2022,Materials
1AG,Alterra Limited,16/05/2008,"Food, Beverage & Tobacco"
1CG,One Click Group Limited,28/04/2017,Capital Goods
1MC,Morella Corporation Limited,8/01/2001,Materials
1ST,1St Group Limited,9/06/2015,Health Care Equipment & Services
1VG,Victory Goldfields Limited,22/07/2021,Materials
29M,29Metals Limited,2/07/2021,Materials
2BE,Tubi Limited,14/06/2019,Energy
360,Life360 Inc.,10/05/2019,Software & Services
3DA,Amaero International Ltd,6/12/2019,Capital Goods
3DP,Pointerra Limited,27/03/2008,Software & Services
3MF,3D Metalforge Limited,2/03/2021,Commercial & Professional Services
3PL,3P Learning Limited..,9/07/2014,Consumer Services
4DS,4Ds Memory Limited,9/12/2010,Semiconductors & Semiconductor Equipment
4DX,4Dmedical Limited,7/08/2020,Health Care Equipment & Services
5EA,5E Advanced Materials Inc.,1/03/2022,Materials
5GG,Pentanet Limited,29/01/2021,Telecommunication Services
88E,88 Energy Limited,20/01/2000,Energy
8CO,8Common Limited,27/08/2014,Software & Services
8IH,8I Holdings Ltd,17/12/2014,Diversified Financials
8VI,8Vi Holdings Limited,16/12/2015,Consumer Services
92E,92 Energy Limited,15/04/2021,Energy
99L,99 Loyalty Limited.,8/10/2013,Software & Services
9SP,9 Spokes International Limited,9/06/2016,Software & Services
A11,Atlantic Lithium Limited,26/09/2022,Materials
A1G,African Gold Ltd.,14/02/2019,Materials
A1M,Aic Mines Limited,4/11/1993,Materials
A2B,A2B Australia Limited,14/12/1999,Transportation
A2M,The A2 Milk Company Limited,31/03/2015,"Food, Beverage & Tobacco"
A3D,Aurora Labs Limited,16/08/2016,Capital Goods
A4N,Alpha Hpa Limited,22/10/2007,Materials
A8G,Australasian Metals Limited,13/05/2021,Materials
AAC,Australian Agricultural Company Limited.,10/08/2001,"Food, Beverage & Tobacco"
AAJ,Aruma Resources Limited,23/07/2010,Materials
AAP,Australian Agricultural Projects Limited,7/01/2004,"Food, Beverage & Tobacco"
AAR,Astral Resources Nl,13/11/1986,Materials
AAU,Antilles Gold Limited,25/11/1993,Materials
ABA,Auswide Bank Ltd,19/09/1994,Banks
ABB,Aussie Broadband Limited,16/10/2020,Telecommunication Services
ABC,Adbri Limited,31/05/1962,Materials
ABE,Australian Bond Exchange Holdings Limited,6/12/2021,Diversified Financials
ABP,Abacus Property Group,14/11/2002,Real Estate
ABV,Advanced Braking Technology Ltd,28/05/2002,Automobiles & Components
ABX,Abx Group Limited,24/12/2009,Materials
ABY,Adore Beauty Group Limited,23/10/2020,Retailing
