ASXCode,CompanyName,GICsIndustryGroup
14D,1414 Degrees Limited,Capital Goods
1AD,Adalta Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
1AE,Aurora Energy Metals Limited,Materials
1AG,Alterra Limited,"Food, Beverage & Tobacco"
1CG,One Click Group Limited,Capital Goods
1MC,Morella Corporation Limited,Materials
1ST,1St Group Limited,Health Care Equipment & Services
1VG,Victory Goldfields Limited,Materials
29M,29Metals Limited,Materials
2BE,Tubi Limited,Energy
360,Life360 Inc.,Software & Services
3DA,Amaero International Ltd,Capital Goods
3DP,Pointerra Limited,Software & Services
3MF,3D Metalforge Limited,Commercial & Professional Services
3PL,3P Learning Limited..,Consumer Services
4DS,4Ds Memory Limited,Semiconductors & Semiconductor Equipment
4DX,4Dmedical Limited,Health Care Equipment & Services
5EA,5E Advanced Materials Inc.,Materials
5GG,Pentanet Limited,Telecommunication Services
88E,88 Energy Limited,Energy
8CO,8Common Limited,Software & Services
8IH,8I Holdings Ltd,Diversified Financials
8VI,8Vi Holdings Limited,Consumer Services
92E,92 Energy Limited,Energy
99L,99 Loyalty Limited.,Software & Services
9SP,9 Spokes International Limited,Software & Services
A11,Atlantic Lithium Limited,Materials
A1G,African Gold Ltd.,Materials
A1M,Aic Mines Limited,Materials
A2B,A2B Australia Limited,Transportation
A2M,The A2 Milk Company Limited,"Food, Beverage & Tobacco"
A3D,Aurora Labs Limited,Capital Goods
A4N,Alpha Hpa Limited,Materials
A8G,Australasian Metals Limited,Materials
AAC,Australian Agricultural Company Limited.,"Food, Beverage & Tobacco"
AAJ,Aruma Resources Limited,Materials
AAP,Australian Agricultural Projects Limited,"Food, Beverage & Tobacco"
AAR,Astral Resources Nl,Materials
AAU,Antilles Gold Limited,Materials
ABA,Auswide Bank Ltd,Banks
ABB,Aussie Broadband Limited,Telecommunication Services
ABC,Adbri Limited,Materials
ABE,Australian Bond Exchange Holdings Limited,Diversified Financials
ABP,Abacus Property Group,Real Estate
ABV,Advanced Braking Technology Ltd,Automobiles & Components
ABX,Abx Group Limited,Materials
ABY,Adore Beauty Group Limited,Retailing
AC8,Auscann Group Holdings Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
ACB,A-Cap Energy Limited,Energy
ACF,Acrow Formwork And Construction Services Limited,Capital Goods
ACL,Australian Clinical Labs Limited,Health Care Equipment & Services
ACP,Audalia Resources Limited,Materials
ACQ,Acorn Capital Investment Fund Limited,Not Applic
ACR,Acrux Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
ACS,Accent Resources Nl,Materials
ACU,Acumentis Group Limited,Real Estate
ACW,Actinogen Medical Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
AD1,Ad1 Holdings Limited,Media & Entertainment
AD8,Audinate Group Limited,Technology Hardware & Equipment
ADA,Adacel Technologies Limited,Software & Services
ADD,Adavale Resources Limited,Energy
ADG,Adelong Gold Limited,Materials
ADH,Adairs Limited,Retailing
ADN,Andromeda Metals Limited,Materials
ADO,Anteotech Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
ADR,Adherium Limited,Health Care Equipment & Services
ADS,Adslot Ltd.,Software & Services
ADT,Adriatic Metals Plc,Materials
ADV,Ardiden Ltd,Materials
ADX,Adx Energy Ltd,Energy
ADY,Admiralty Resources Nl.,Materials
AE1,Aerison Group Ltd,Capital Goods
AEE,Aura Energy Limited,Energy
AEF,Australian Ethical Investment Limited,Diversified Financials
AEI,Aeris Environmental Ltd,Commercial & Professional Services
AEN,Aeramentum Resources Limited,Materials
AER,Aeeris Ltd,Media & Entertainment
AEV,Avenira Limited,Materials
AFA,Asf Group Limited,Diversified Financials
AFG,Australian Finance Group Ltd,Banks
AFI,Australian Foundation Investment Company Limited,Not Applic
AFL,Af Legal Group Ltd,Commercial & Professional Services
AFP,Aft Pharmaceuticals Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
AFW,Applyflow Limited,Media & Entertainment
AGC,Australian Gold And Copper Ltd,Materials
AGD,Austral Gold Limited,Materials
AGE,Alligator Energy Limited,Energy
AGG,Anglogold Ashanti Limited,Materials
AGH,Althea Group Holdings Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
AGI,Ainsworth Game Technology Limited,Consumer Services
AGL,Agl Energy Limited.,Utilities
AGN,Argenica Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
AGR,Aguia Resources Limited,Materials
AGY,Argosy Minerals Limited,Materials
AHC,Austco Healthcare Limited,Health Care Equipment & Services
AHF,Australian Dairy Nutritionals Group,"Food, Beverage & Tobacco"
AHI,Advanced Human Imaging Ltd,Software & Services
AHK,Ark Mines Limited,Materials
AHL,Adrad Holdings Limited,Automobiles & Components
AHN,Athena Resources Limited,Materials
AHQ,Allegiance Coal Limited,Materials
AHX,Apiam Animal Health Limited,Health Care Equipment & Services
AIA,Auckland International Airport Limited,Transportation
AIB,Aurora Global Income Trust,Not Applic
AII,Almonty Industries Inc.,Materials
AIM,Ai-Media Technologies Limited,Commercial & Professional Services
AIQ,Alternative Investment Trust,Not Applic
AIS,Aeris Resources Limited,Materials
AIV,Activex Limited,Materials
AIZ,Air New Zealand Limited,Transportation
AJJ,Asian American Medical Group Limited,Health Care Equipment & Services
AJL,Aj Lucas Group Limited,Capital Goods
AJQ,Armour Energy Limited,Energy
AJX,Alexium International Group Limited,Materials
AJY,Asaplus Resources Limited,Materials
AKE,Allkem Limited,Materials
AKG,Academies Australasia Group Limited,Consumer Services
AKL,Auckland Real Estate Trust,Real Estate
AKM,Aspire Mining Limited,Materials
AKN,Auking Mining Limited,Materials
AKO,Akora Resources Limited,Materials
AKP,Audio Pixels Holdings Limited,Consumer Durables & Apparel
AL3,Aml3D Limited,Capital Goods
AL8,Alderan Resources Limited,Materials
ALA,Arovella Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
ALB,Albion Resources Limited,Materials
ALC,Alcidion Group Limited,Health Care Equipment & Services
ALD,Ampol Limited,Energy
ALG,Ardent Leisure Group Limited,Consumer Services
ALI,Argo Global Listed Infrastructure Limited,Not Applic
ALK,Alkane Resources Limited,Materials
ALL,Aristocrat Leisure Limited,Consumer Services
ALM,Alma Metals Limited,Energy
ALO,Alloggio Group Limited,Consumer Services
ALQ,Als Limited,Commercial & Professional Services
ALT,Analytica Limited,Health Care Equipment & Services
ALU,Altium Limited,Software & Services
ALV,Alvo Minerals Limited,Materials
ALX,Atlas Arteria,Transportation
ALY,Alchemy Resources Limited,Materials
AM7,Arcadia Minerals Limited,Materials
AMA,Ama Group Limited,Commercial & Professional Services
AMC,Amcor Plc,Materials
AMD,Arrow Minerals Ltd,Materials
AME,Alto Metals Limited,Materials
AMH,Amcil Limited,Not Applic
AMI,Aurelia Metals Limited,Materials
AML,Aeon Metals Limited.,Materials
AMM,Armada Metals Limited,Materials
AMN,Agrimin Limited,Materials
AMO,Ambertech Limited,Technology Hardware & Equipment
AMP,Amp Limited,Diversified Financials
AMS,Atomos Limited,Consumer Durables & Apparel
AMT,Allegra Orthopaedics Limited,Health Care Equipment & Services
AMX,Aerometrex Limited,Commercial & Professional Services
AN1,Anagenics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
AND,Ansarada Group Limited,Software & Services
ANG,Austin Engineering Limited,Capital Goods
ANL,Amani Gold Limited,Materials
ANN,Ansell Limited,Health Care Equipment & Services
ANO,Advance Zinctek Limited,Materials
ANP,Antisense Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
ANR,Anatara Lifesciences Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
ANX,Anax Metals Limited,Materials
ANZ,Australia And New Zealand Banking Group Limited,Banks
AO1,Assetowl Limited,Software & Services
AOA,Ausmon Resources Limited,Materials
AOF,Australian Unity Office Fund,Real Estate
AON,Apollo Minerals Limited,Materials
AOU,Auroch Minerals Ltd,Materials
APA,Apa Group,Utilities
APC,Australian Potash Limited,Materials
APE,Eagers Automotive Limited,Retailing
APG,Austpac Resources Nl,Materials
APM,Apm Human Services International Limited,Commercial & Professional Services
APS,Allup Silica Limited,Materials
APW,Aims Property Securities Fund,Real Estate
APX,Appen Limited,Software & Services
APZ,Aspen Group,Real Estate
AQC,Australian Pacific Coal Limited,Materials
AQD,Ausquest Limited,Materials
AQI,Alicanto Minerals Limited,Materials
AQN,Aquirian Limited,Commercial & Professional Services
AQS,Aquis Entertainment Limited,Consumer Services
AQX,Alice Queen Limited,Materials
AQZ,Alliance Aviation Services Limited,Transportation
AR1,Austral Resources Australia Ltd,Materials
AR3,Australian Rare Earths Limited,Materials
AR9,Archtis Limited,Software & Services
ARA,Ariadne Australia Limited,Commercial & Professional Services
ARB,Arb Corporation Limited.,Automobiles & Components
ARC,Arc Funds Limited,Diversified Financials
ARD,Argent Minerals Limited,Materials
ARE,Argonaut Resources Nl,Materials
ARF,Arena Reit.,Real Estate
ARG,Argo Investments Limited,Not Applic
ARL,Ardea Resources Limited,Materials
ARN,Aldoro Resources Limited,Materials
ARO,Astro Resources Nl,Materials
ARR,American Rare Earths Limited,Materials
ART,Airtasker Limited,Media & Entertainment
ARU,Arafura Rare Earths Ltd,Materials
ARV,Artemis Resources Limited,Materials
ARX,Aroa Biosurgery Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
AS2,Askari Metals Limited,Materials
ASB,Austal Limited,Capital Goods
ASG,Autosports Group Limited.,Retailing
ASH,Ashley Services Group Limited,Commercial & Professional Services
ASM,Australian Strategic Materials Limited,Materials
ASN,Anson Resources Limited,Materials
ASO,Aston Minerals Limited,Materials
ASP,Aspermont Limited.,Media & Entertainment
ASQ,Australian Silica Quartz Group Ltd,Materials
ASR,Asra Minerals Limited,Materials
ASW,Advanced Share Registry Limited,Diversified Financials
ASX,Asx Limited,Diversified Financials
AT1,Atomo Diagnostics Limited,Health Care Equipment & Services
ATA,Atturra Limited,Software & Services
ATC,Altech Chemicals Ltd,Materials
ATH,Alterity Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
ATL,Apollo Tourism & Leisure Ltd,Automobiles & Components
ATM,Aneka Tambang (Persero) Tbk (Pt),Materials
ATP,Atlas Pearls Ltd,Consumer Durables & Apparel
ATR,Astron Corporation Limited,Materials
ATS,Australis Oil & Gas Limited,Energy
ATU,Atrum Coal Limited,Materials
